file_name	int_area
1609_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1609_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1609_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1609_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1610_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_SFPR_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1610_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11977.48575
1610_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11886.13194
1704_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1704_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12028.4453
1705_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1705_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12472.50061
1706_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1706_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	25176.70495
1707_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1707_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	24257.30574
1708_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1708_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	21582.17126
1709_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
1709_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	22447.99945
