file_name	base_name	yr_mo	int_area	int_gain	samp_gain
1704_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_FOXC_SMP_1	1704	12028.4453	low	low
1704_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_REDC_SMP_1	1704	12028.4453	low	low
1704_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_SFCD_SMP_1	1704	12028.4453	low	low
1704_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_SFMD_SMP_1	1704	12028.4453	low	low
1704_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_SFMG_SMP_1	1704	12028.4453	low	low
1704_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_SFPR_SMP_1	1704	12028.4453	low	low
1704_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_SFSI_SMP_1	1704	12028.4453	low	low
1705_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_ELDC_SMP_1	1705	12472.50061	low	low
1705_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_FOXC_SMP_1	1705	12472.50061	low	low
1705_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_REDC_SMP_1	1705	12472.50061	low	low
1705_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_SFCD_SMP_1	1705	12472.50061	low	low
1705_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_SFMD_SMP_1	1705	12472.50061	low	low
1705_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_SFMG_SMP_1	1705	12472.50061	low	low
1705_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_SFPR_SMP_1	1705	12472.50061	low	low
1705_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1705_SFSI_SMP_1	1705	12472.50061	low	low
1706_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_ELDC_SMP_1	1706	25176.70495	med	med
1706_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_FOXC_SMP_1	1706	25176.70495	med	med
1706_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_REDC_SMP_1	1706	25176.70495	med	med
1706_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1706_SFCD_SMP_1	1706	25176.70495	med	med
