ex	em	z
596	467.993	0
596	469.651	0
596	471.309	0
596	472.967	0
596	474.626	0
596	476.285	0
596	477.945	0
596	479.605	0
596	481.265	0
596	482.926	0
596	484.587	0
596	486.249	0
596	487.911	0
596	489.573	0
596	491.236	0
596	492.899	0
596	494.562	0
596	496.226	0
596	497.89	0
596	499.554	0
596	501.219	0
596	502.884	0
596	504.549	0
596	506.215	0
596	507.881	0
596	509.548	0
596	511.214	0
596	512.881	0
596	514.549	0
596	516.217	0
596	517.885	0
596	519.553	0
596	521.222	0
596	522.891	0
596	524.56	0
596	526.23	0
596	527.9	0
596	529.57	0
596	531.24	0
596	532.911	0
596	534.582	0
596	536.254	0
596	537.925	0
596	539.597	0
596	541.27	0
596	542.942	0
596	544.615	0
596	546.288	0
596	547.961	0
596	549.635	0
596	551.309	0
596	552.983	0
596	554.658	0
596	556.332	0
596	558.007	0
596	559.683	0
596	561.358	0
596	563.034	0
596	564.71	0
596	566.386	0
596	568.063	0
596	569.739	0
596	571.416	0
596	573.093	0
596	574.771	0
596	576.448	0
596	578.126	0
596	579.804	0
596	581.483	0
596	583.161	0
596	584.84	0
596	586.519	0
596	588.198	0
596	589.878	0
596	591.557	0
596	593.237	0
596	594.917	0
596	596.597	0
596	598.277	0
596	599.958	0
596	601.639	0
596	603.32	0
596	605.001	0
596	606.682	0
596	608.364	-5.24043710656909e-4
596	610.045	0.00141050431910854
596	611.727	0.00447554956442588
596	613.409	1.38151315614013e-4
596	615.091	0.0083587371556073
596	616.774	-0.00136956640665216
596	618.456	1.61666281053056e-4
596	620.139	-0.00223580351973592
595	212.423	0
595	213.993	0
595	215.563	0
595	217.134	0
595	218.706	0
595	220.279	0
595	221.852	0
595	223.426	0
595	225	0
595	226.576	0
595	228.152	0
595	229.728	0
595	231.305	0
595	232.883	0
595	234.462	0
595	236.042	0
595	237.622	0
595	239.202	0
595	240.784	0
595	242.366	0
595	243.948	0
595	245.532	0
595	247.116	0
595	248.701	0
595	250.286	0
595	251.872	0
595	253.459	0
595	255.046	0
595	256.634	0
595	258.223	0
595	259.812	0
595	261.402	0
595	262.993	0
595	264.584	0
595	266.176	0
595	267.769	0
595	269.362	0
595	270.956	0
595	272.551	0
595	274.146	0
595	275.742	0
595	277.338	0
595	278.935	0
595	280.533	0
595	282.131	0
595	283.73	0
595	285.33	0
595	286.93	0
595	288.531	0
595	290.132	0
595	291.735	0
595	293.337	0
595	294.941	0
595	296.545	0
595	298.149	0
595	299.754	0
595	301.36	0
595	302.966	0
595	304.573	0
595	306.181	0
595	307.789	0
595	309.398	0
595	311.007	0
595	312.617	0
595	314.228	0
595	315.839	0
595	317.451	0
595	319.063	0
595	320.676	0
595	322.29	0
595	323.904	0
595	325.519	0
595	327.134	0
595	328.75	0
595	330.366	0
595	331.983	0
595	333.601	0
595	335.219	0
595	336.838	0
595	338.457	0
595	340.077	0
595	341.697	0
595	343.318	0
595	344.94	0
595	346.562	0
595	348.185	0
595	349.808	0
595	351.432	0
595	353.056	0
595	354.681	0
595	356.306	0
595	357.932	0
595	359.558	0
595	361.185	0
595	362.813	0
595	364.441	0
595	366.07	0
595	367.699	0
595	369.328	0
595	370.959	0
595	372.589	0
595	374.221	0
595	375.852	0
595	377.485	0
595	379.117	0
595	380.751	0
595	382.384	0
595	384.019	0
595	385.654	0
595	387.289	0
595	388.925	0
595	390.561	0
595	392.198	0
595	393.835	0
595	395.473	0
595	397.111	0
595	398.75	0
595	400.39	0
595	402.029	0
595	403.67	0
595	405.31	0
595	406.951	0
595	408.593	0
595	410.235	0
595	411.878	0
595	413.521	0
595	415.165	0
595	416.809	0
595	418.453	0
595	420.098	0
595	421.744	0
595	423.39	0
595	425.036	0
595	426.683	0
595	428.33	0
595	429.978	0
595	431.626	0
595	433.274	0
595	434.923	0
595	436.573	0
595	438.223	0
595	439.873	0
595	441.524	0
595	443.175	0
595	444.827	0
595	446.479	0
595	448.131	0
595	449.784	0
595	451.437	0
595	453.091	0
595	454.745	0
595	456.4	0
595	458.055	0
595	459.71	0
595	461.366	0
595	463.022	0
595	464.678	0
595	466.335	0
595	467.993	0
595	469.651	0
595	471.309	0
595	472.967	0
595	474.626	0
595	476.285	0
595	477.945	0
595	479.605	0
595	481.265	0
595	482.926	0
595	484.587	0
595	486.249	0
595	487.911	0
595	489.573	0
595	491.236	0
595	492.899	0
595	494.562	0
595	496.226	0
595	497.89	0
595	499.554	0
595	501.219	0
595	502.884	0
595	504.549	0
595	506.215	0
595	507.881	0
595	509.548	0
595	511.214	0
595	512.881	0
595	514.549	0
595	516.217	0
595	517.885	0
595	519.553	0
595	521.222	0
595	522.891	0
595	524.56	0
595	526.23	0
595	527.9	0
595	529.57	0
595	531.24	0
595	532.911	0
595	534.582	0
595	536.254	0
595	537.925	0
595	539.597	0
595	541.27	0
595	542.942	0
595	544.615	0
595	546.288	0
595	547.961	0
595	549.635	0
595	551.309	0
595	552.983	0
595	554.658	0
595	556.332	0
595	558.007	0
595	559.683	0
595	561.358	0
595	563.034	0
595	564.71	0
595	566.386	0
595	568.063	0
595	569.739	0
595	571.416	0
595	573.093	0
595	574.771	0
595	576.448	0
595	578.126	0
595	579.804	0
595	581.483	0
595	583.161	0
595	584.84	0
595	586.519	0
595	588.198	0
595	589.878	0
595	591.557	0
595	593.237	0
595	594.917	0
595	596.597	0
595	598.277	0
595	599.958	0
595	601.639	0
595	603.32	0
595	605.001	0
595	606.682	0
595	608.364	-0.00145312770099512
595	610.045	0.00367931551258006
595	611.727	-5.11017254847526e-4
595	613.409	0.00136514651009742
595	615.091	0.00513843420920161
595	616.774	-0.00408034545484472
595	618.456	-0.0025624935033124
595	620.139	-0.00220247278048169
594	212.423	0
594	213.993	0
594	215.563	0
594	217.134	0
594	218.706	0
594	220.279	0
594	221.852	0
594	223.426	0
594	225	0
594	226.576	0
594	228.152	0
594	229.728	0
594	231.305	0
594	232.883	0
594	234.462	0
594	236.042	0
594	237.622	0
594	239.202	0
594	240.784	0
594	242.366	0
594	243.948	0
594	245.532	0
594	247.116	0
594	248.701	0
594	250.286	0
594	251.872	0
594	253.459	0
594	255.046	0
594	256.634	0
594	258.223	0
594	259.812	0
594	261.402	0
594	262.993	0
594	264.584	0
594	266.176	0
594	267.769	0
594	269.362	0
594	270.956	0
594	272.551	0
594	274.146	0
594	275.742	0
594	277.338	0
594	278.935	0
594	280.533	0
594	282.131	0
594	283.73	0
594	285.33	0
594	286.93	0
594	288.531	0
594	290.132	0
594	291.735	0
594	293.337	0
594	294.941	0
594	296.545	0
594	298.149	0
594	299.754	0
594	301.36	0
594	302.966	0
594	304.573	0
594	306.181	0
594	307.789	0
594	309.398	0
594	311.007	0
594	312.617	0
594	314.228	0
594	315.839	0
594	317.451	0
594	319.063	0
594	320.676	0
594	322.29	0
594	323.904	0
594	325.519	0
594	327.134	0
594	328.75	0
594	330.366	0
594	331.983	0
594	333.601	0
594	335.219	0
594	336.838	0
594	338.457	0
594	340.077	0
594	341.697	0
594	343.318	0
594	344.94	0
594	346.562	0
594	348.185	0
594	349.808	0
594	351.432	0
594	353.056	0
594	354.681	0
594	356.306	0
594	357.932	0
594	359.558	0
594	361.185	0
594	362.813	0
594	364.441	0
594	366.07	0
594	367.699	0
594	369.328	0
594	370.959	0
594	372.589	0
594	374.221	0
594	375.852	0
594	377.485	0
594	379.117	0
594	380.751	0
594	382.384	0
594	384.019	0
594	385.654	0
594	387.289	0
594	388.925	0
594	390.561	0
594	392.198	0
594	393.835	0
594	395.473	0
594	397.111	0
594	398.75	0
594	400.39	0
594	402.029	0
594	403.67	0
594	405.31	0
594	406.951	0
594	408.593	0
594	410.235	0
594	411.878	0
594	413.521	0
594	415.165	0
594	416.809	0
594	418.453	0
594	420.098	0
594	421.744	0
594	423.39	0
594	425.036	0
594	426.683	0
594	428.33	0
594	429.978	0
594	431.626	0
594	433.274	0
594	434.923	0
594	436.573	0
594	438.223	0
594	439.873	0
594	441.524	0
594	443.175	0
594	444.827	0
594	446.479	0
594	448.131	0
594	449.784	0
594	451.437	0
594	453.091	0
594	454.745	0
594	456.4	0
594	458.055	0
594	459.71	0
594	461.366	0
594	463.022	0
594	464.678	0
594	466.335	0
594	467.993	0
594	469.651	0
594	471.309	0
594	472.967	0
594	474.626	0
594	476.285	0
594	477.945	0
594	479.605	0
594	481.265	0
594	482.926	0
594	484.587	0
594	486.249	0
594	487.911	0
594	489.573	0
594	491.236	0
594	492.899	0
594	494.562	0
594	496.226	0
594	497.89	0
594	499.554	0
594	501.219	0
594	502.884	0
594	504.549	0
594	506.215	0
594	507.881	0
594	509.548	0
594	511.214	0
594	512.881	0
594	514.549	0
594	516.217	0
594	517.885	0
594	519.553	0
594	521.222	0
594	522.891	0
594	524.56	0
594	526.23	0
594	527.9	0
594	529.57	0
594	531.24	0
594	532.911	0
594	534.582	0
594	536.254	0
594	537.925	0
594	539.597	0
594	541.27	0
594	542.942	0
594	544.615	0
594	546.288	0
594	547.961	0
594	549.635	0
